club_name,league_name
1. FC Brno,Other
1. FC Köln,1 Bundesliga
1.FC Heidenheim,Other
1.FC Kaiserslautern,1 Bundesliga
1.FC Köln U19,Other
1.FC Magdeburg,Other
1.FC Nuremberg,1 Bundesliga
1.FC Pforzheim,Other
1.FC Saarbrücken,1 Bundesliga
1.FC Union Berlin,1 Bundesliga
1.FSV Mainz 05,1 Bundesliga
1.SC Feucht,Other
12 de Octubre,Other
15 de Novembro,Other
1º de Agosto,Other
A. Aachen II,Other
A. Lustenau,Other
A. Malagueño,Other
A. Salbris Sports,Other
A.I.S.,Other
AA La Louviere,Other
ABC FC,Brazil
AC Ajaccio,Ligue 1
AC Arles,Other
AC Arles-Avignon,Other
AC Bellinzona,Switzerland
AC Carpenedolo,Other
AC Cesena,Serie A
AC Crevalcore,Other
AC Fiorentina,Serie A
AC Firenze Rondinella,Other
AC Horsens,Denmark
AC Le Havre,Ligue 1
AC Merlan Lome,Other
AC Mezzocorona,Other
AC Milan,Serie A
AC Montichiari,Other
AC Parma,Serie A
AC Perugia,Serie A
AC Pisa,Other
AC Reggiana,Serie A
AC Scafatese,Other
AC Siena,Serie A
AC Tripoli,Other
AC Venezia 1907,Serie A
ACD GT,Other
ACD Treviso,Serie A
ACF Fiorentina,Serie A
ACV Assen,Other
AD Ceuta,Other
AD Limonense,Other
AD Lousada,Other
ADO '20,Other
ADO Den Haag,Eredivisie
AE Larisa,Other
AE Pafos,Other
AEK Athens,Greece
AEK Larnaca,Other
AFAD Djékanou,Other
AFC Aurillac,Other
AFC Bournemouth,Premier League
AFC Eskilstuna,Sweden
AFC Wimbledon,Other
AFE,Other
AGOVV Apeldoorn,Other
AIK,Other
AJ Auxerre,Ligue 1
AJ Fano,Other
AO Egaleo,Other
APOEL Nicosia,Other
APOP Kinyras,Other
AR Menoua,Other
ARS Martinho,Other
AS Angoulême 92,Other
AS Avellino,Other
AS Aviação,Other
AS Bamako,Other
AS Bari,Serie A
AS Béziers,Other
AS Camberene,Other
AS Cannes,Ligue 1
AS Denguélé,Other
AS Douanes,Other
AS Giarre Calcio,Other
AS Gubbio,Other
AS Livorno,Serie A
AS Lodigiani,Other
AS Lyon-Duchère,Other
AS Marsa,Other
AS Monaco,Ligue 1
AS Muret,Other
AS Nancy-Lorraine,Ligue 1
AS Nola,Other
AS Pescina,Other
AS Pizzighettone,Other
AS Red Star 93,Other
AS Rom Youth,Other
AS Roma,Serie A
AS Saint-Seurin,Other
AS Saint-Étienne,Ligue 1
AS Togo Port,Other
AS Trencin,Other
AS Vita Club,Other
ASC Diaraf,Other
ASD Cascina Calcio,Other
ASEC Mimosas,Other
ASO Chlef,Other
ASOA Valence,Other
ATK,Other
AZ Alkmaar,Eredivisie
Aalborg BK,Denmark
Aalesund,Norway
Aarhus Fremad,Other
Aarhus GF,Other
Abano,Other
Aberdeen FC,Scotland
Ac. Chisinau,Other
Académica Coimbra,Liga Nos
Académico Viseu,Other
Accrington,Other
Achilles 1894,Other
Acireale,Other
Acri,Other
Adelaide United,Other
Admira Wacker,Austria
Admira/Wacker,Other
Afips Afipskiy,Other
Africa Sports,Other
Ahli,Other
Airbus UK BFC,Other
Airdrie,Scotland
Ajax Amsterdam,Eredivisie
Ajax Cape Town,Other
Akad. Togliatti,Other
Akademia D.,Other
Akademia Dinamo,Other
Akademia FCSM,Other
Akademisk BK,Other
Akhisar Belediye,Turkey
Akhisarspor,Other
Akhmat Grozny,Premier Liga
Akragas,Other
Akratitos,Greece
Akron Zips,Other
Aktobe,Other
Akwa United,Other
Al Qadisiyah,Other
Al-Ahli (UAE),Other
Al-Ahli SC,Other
Al-Ahly Tripoli,Other
Al-Ain FC,Other
Al-Arabi SC,Other
Al-Duhail SC,Other
Al-Ettifaq,Other
Al-Jamahiriyah,Other
Al-Jazira,Other
Al-Nasr,Other
Al-Nassr,Other
Al-Qadsia SC,Other
Al-Ramtha,Other
Al-Rayyan SC,Other
Al-Sadd SC,Other
Al-Shaab,Other
Al-Shorta SC,Other
Al-Wasl,Other
Alania Vladikavkaz,Premier Liga
Alanyaspor,Turkey
Albacete Balompié,Primera Division
Albanova,Other
Albion Rovers,Other
Albirex Niigata,Other
Alcains,Other
Alcobaça,Other
Alcochentense,Other
Alcorcón,Other
Aldershot Town,Other
Alem. Aachen,Other
Alemannia Aachen,1 Bundesliga
Alessandria,Other
Alessandria Youth,Other
Alfreton,Other
Algeciras CF,Other
Alghero,Other
Alianza FC,Other
Alianza Lima,Other
All Boys,Other
Alloa Athletic,Scotland
Almagro,Argentina
Almahalla Tripoli,Other
Almancilense,Other
Almere City,Other
Alphense Boys,Other
Altamura,Other
Altay SK,Turkey
Altinordu,Other
Altrincham,Other
Amares,Other
Ambassadors FC,Other
Ambrosiana,Other
Amica Wronki,Polonia
Amiens SC,Ligue 1
Amkar Perm,Premier Liga
Amora FC,Other
Amur-2010,Other
América,Other
América-MG,Brazil
América-MG,Mexico
América-MG,Uruguay
América-RJ,Other
América-RN,Other
Anadia FC,Other
Ancona Calcio,Serie A
