club_name,league_name
1. FC Brno,Other
1. FC Köln,1 Bundesliga
1.FC Heidenheim,Other
1.FC Kaiserslautern,1 Bundesliga
1.FC Köln U19,Other
1.FC Magdeburg,Other
1.FC Nuremberg,1 Bundesliga
1.FC Saarbrücken,1 Bundesliga
1.FC Union Berlin,1 Bundesliga
1.FSV Mainz 05,1 Bundesliga
1.SC Feucht,Other
1º de Agosto,Other
A. Aachen II,Other
A. Malagueño,Other
A.I.S.,Other
AA La Louviere,Other
AC Ajaccio,Ligue 1
AC Arles,Other
AC Bellinzona,Switzerland
AC Cesena,Serie A
AC Fiorentina,Serie A
AC Horsens,Denmark
AC Le Havre,Ligue 1
AC Merlan Lome,Other
AC Milan,Serie A
AC Montichiari,Other
AC Parma,Serie A
AC Perugia,Serie A
AC Pisa,Other
AC Reggiana,Serie A
AC Siena,Serie A
AC Venezia 1907,Serie A
ACD Treviso,Serie A
ACF Fiorentina,Serie A
AD Limonense,Other
ADO Den Haag,Eredivisie
AE Larisa,Other
AEK Athens,Greece
AFC Bournemouth,Premier League
AFC Wimbledon,Other
AGOVV Apeldoorn,Other
AIK,Sweden
AJ Auxerre,Ligue 1
AO Egaleo,Other
APOEL Nicosia,Other
AS Avellino,Other
AS Bamako,Other
AS Bari,Serie A
AS Cannes,Ligue 1
AS Gubbio,Other
AS Livorno,Serie A
AS Monaco,Ligue 1
AS Nancy-Lorraine,Ligue 1
AS Pescina,Other
AS Red Star 93,Other
AS Roma,Serie A
AS Saint-Étienne,Ligue 1
AS Trencin,Other
AS Vita Club,Other
ASEC Mimosas,Other
ASO Chlef,Other
AZ Alkmaar,Eredivisie
Aalborg BK,Denmark
Aalesund,Norway
Aarhus GF,Other
Aberdeen FC,Scotland
Académica Coimbra,Liga Nos
Académico Viseu,Other
Accrington,Other
Adelaide United,Other
Admira Wacker,Austria
Admira/Wacker,Other
Ahli,Other
Ajax Amsterdam,Eredivisie
Ajax Cape Town,Other
Akad. Togliatti,Other
Akademisk BK,Other
Akhisar Belediye,Turkey
Akhmat Grozny,Premier Liga
Al-Ahli (UAE),Other
Al-Ahli SC,Other
Al-Ain FC,Other
Al-Arabi SC,Other
Al-Duhail SC,Other
Al-Jamahiriyah,Other
Al-Jazira,Other
Al-Rayyan SC,Other
Al-Sadd SC,Other
Al-Shorta SC,Other
Al-Wasl,Other
Alanyaspor,Turkey
Albacete Balompié,Primera Division
Albirex Niigata,Other
Alcorcón,Other
Aldershot Town,Other
Alem. Aachen,Other
Alemannia Aachen,1 Bundesliga
Alessandria,Other
Alianza FC,Other
Alianza Lima,Other
Almere City,Other
Altay SK,Turkey
Altinordu,Other
Altrincham,Other
Ambrosiana,Other
Amica Wronki,Polonia
Amiens SC,Ligue 1
Amkar Perm,Premier Liga
América-MG,Other
Ancona Calcio,Serie A
Andria,Other
Annan Athletic,Other
Anorthosis,Other
Antalyaspor,Turkey
Anyang LG Cheeta,Other
Anzhi Makhachkala,Premier Liga
Aparecida,Other
Apol. Limassol,Other
Arezzo,Other
Argentinos Jrs.,Argentina
Aris Saloniki,Other
Arm. Bielefeld,Other
Arminia Bielefeld,1 Bundesliga
Arsenal FC,Premier League
Arsenal Kyiv,Other
Arsenal Tula,Premier Liga
Artmedia Brat.,Other
Arzanese,Other
Asante Kotoko,Other
Aschaffenburg,Other
Ascoli Calcio 1898,Serie A
Association Troyes Aube Champagne,Ligue 1
Assyriska FF,Sweden
Asteras Tripoli,Greece
Aston Villa,Premier League
Atalanta BC,Serie A
Athletic Bilbao,Primera Division
Athletico-PR,Other
Atl. Madrid B,Other
Atl. Nacional,Other
Atlanta United,Usa
Atlantas,Other
Atlas,Mexico
Atletico Roma,Other
Atlético Colombia,Other
Atlético Huila,Other
Atlético Madrid,Primera Division
Atlético-MG,Other
Atlético-PR,Other
Atromitos Athen,Other
Audax Italiano,Chile
Austria Kärnten,Austria
Austria Vienna,Austria
Avangard Kursk,Other
Avaí FC,Brazil
Avellino,Other
Aversa Norm.,Other
B. Banja Luka,Other
B. Jerusalem,Other
B. Podgorica,Other
B.93,Other
B68 Toftir,Other
BATE Borisov,Other
BJ Guoan,Other
BK Frem,Other
BSC Young Boys,Switzerland
Babelsberg 03,Other
Baladeya,Other
Baltika Kaliningrad,Other
Banik Ostrava,Other
Banska Bystrica,Other
Barcelona SC,Other
Barnet,Other
Barnsley FC,Premier League
Barra FC,Other
Barry Town,Other
Barton Rovers,Other
Barueri,Other
Basaksehir,Other
Bay. Uerdingen,Other
Bayer 04 Leverkusen,1 Bundesliga
Bayer 05 Uerdingen,1 Bundesliga
Bayern Munich,1 Bundesliga
Belenenses SAD,Liga Nos
Belgrano,Argentina
Bellm. Hiratsuka,Other
Belvedere FC,Other
Benevento Calcio,Serie A
Berekum Arsenal,Other
Besiktas,Turkey
Bihor Oradea,Other
Birmingham City,Premier League
Blackburn Rovers,Premier League
Blackpool FC,Premier League
Bnei Yehuda,Other
Boavista FC,Liga Nos
Boca Juniors,Argentina
Bodø/Glimt,Norway
Bohemians,Other
